Address,C.O,MahMorajeh,Fasl,Jens,Sen,Savad,Tahsil.Mikonad,Madrak,Faaliat,Zanashoi,tedad.a,n.t.m,t.o,s.z,n.e,m.o.b,oto,mo,do,radio,zabt,tv.s,tv.r,video,pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,Hazine_Behdashti,Hazine_Ertebatat,Hazine_Ghazayeamade,Hazine_Hamlonaghl,Hazine_kalavakhadamat,Hazine_Khorakivadokhani,Hazine_lavazemkhanegi,Rahn,Hazine_Maskan,Hazine_Noshidani,Hazine_Pushak,Hazine_Tafrihat,Daramad_Yarane,Daramad_Azad,Daramad_Motefaraghe,Daramad_Mozd_Month,Daramad_Mozd_Year
10001000405,0,8,3,1,47,1,2,1,1,1,3,3,3,70,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,420000,304000,200000,450000,670000,6308000,590000,10000000,7272000,,1240000,,16380000,120000000,,5000000,60000000
10001000408,0,8,3,1,62,1,2,1,3,1,2,1,3,90,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,,292000,,1100000,80000,6559000,590000,0,6878000,,700000,,10920000,,392000000,,
10001000411,0,8,3,1,35,1,2,3,5,3,2,6,3,90,3,1,,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,,115000,,100000,270000,2870000,300000,0,4341000,,,1700000,10920000,,36000000,,
10001000414,0,8,3,1,32,1,2,4,1,1,3,3,3,100,3,1,,,,,,,1,1,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,170000,310000,,200000,620000,8053000,1280000,30000000,7249000,,2300000,240000,16380000,,,25000000,300000000
10001000417,0,8,3,1,53,1,2,1,1,1,4,1,3,90,3,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,344000,,1800000,515000,7661000,1274000,0,6595000,,1850000,,21840000,240000000,,10000000,120000000
10001000502,0,12,4,1,56,1,2,5,3,1,3,1,3,50,2,,1,,,,,,,,,1,,,1,1,1,1,,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,160000,416000,450000,1640000,765000,9798000,1030000,0,4723000,,3110000,350000,16380000,,284000000,10000000,120000000
10001000505,0,12,4,1,28,1,2,4,1,1,3,3,3,50,2,,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,277000,,250000,4810000,6390000,555000,10000000,4361000,,3220000,50000,10920000,,,18600000,223200000
10001000508,0,12,4,1,60,1,2,4,1,1,3,1,4,95,2,,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,242000,,300000,540000,4044000,548000,0,5149000,,,,16380000,,,14000000,168000000
10001000511,0,12,4,1,46,1,2,6,1,1,4,1,4,95,2,,1,,,,,,1,1,,1,1,1,,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,400000,465000,600000,2300000,1040000,13434000,1340000,0,6980000,,12390000,610000,21840000,,,35500000,434000000
10001000514,0,12,4,1,34,1,2,4,1,1,4,1,3,58,2,,,1,,,,,,1,,1,1,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,387000,200000,1780000,4178000,8717500,705000,0,5108000,,5625000,300000,19110000,,,15005000,188060000
10001000517,0,12,4,1,31,1,2,7,1,1,2,3,3,44,2,,,,,,,,1,1,,1,1,1,,1,1,1,1,1,,,,,1,1,1,,,1,1,,,,,,,4,14,24,665000,240000,,400000,1050000,8494000,805000,10000000,4642000,,4450000,200000,10920000,,,12000000,144000000
10001000602,0,3,1,1,35,1,1,6,1,1,2,4,3,95,2,,,,,,,,1,1,,1,,,1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,150000,345000,,410000,285000,6105000,735000,250000000,3639000,,910000,40000,10920000,,,17161200,214934400
10001000605,0,3,1,1,48,1,2,2,3,1,4,1,4,120,2,,1,,,,,,1,,,1,1,1,,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,,425000,,1830000,713000,5407000,1385000,0,4590000,,505000,,21840000,115000000,310000000,,
10001000608,0,3,1,1,53,1,2,3,3,1,2,1,3,98,2,,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,125000,346000,,980000,465000,8484000,760000,0,4704000,,430000,,10920000,,249000000,,
10001000611,0,3,1,1,70,1,2,1,3,1,2,1,3,103,2,,1,,,,,,1,,,1,,1,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,295000,,1320000,200000,4950000,740000,0,5599000,,450000,,10920000,,153000000,,
10001000614,0,3,1,1,33,1,2,6,1,1,3,1,3,100,1,,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,306000,,1300000,2106000,4518000,282000,0,4526000,,200000,,16380000,,,10000000,125000000
10001000617,0,3,1,1,69,2,,,3,2,2,1,3,70,2,,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,675000,200000,,170000,503000,5729000,1070000,0,4121000,,420000,,10920000,,140000000,,
10001000702,0,6,2,1,52,1,2,2,3,1,5,1,4,120,3,1,1,,,,,,1,,1,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,450000,130000,1650000,445000,6365000,590000,0,4300000,,1450000,30000,27300000,,324000000,5000000,60000000
10001000705,0,6,2,1,78,2,,,3,1,4,1,3,80,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,670000,580000,,190000,405000,6421000,320000,0,3297000,,150000,,21840000,,200000000,,
10001000708,0,6,2,1,63,1,2,1,3,1,2,1,3,110,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,810000,290000,,910000,225000,4077000,270000,0,2983000,,500000,,10920000,,192000000,,
10001000711,0,6,2,1,29,1,2,4,1,1,3,3,3,100,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,300000,,320000,390000,7055000,830000,100000000,6856000,,760000,,16380000,264000000,,,
10001000714,0,6,2,2,65,2,,,3,2,1,1,3,130,3,1,,,,,,,1,,,1,1,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,700000,150000,,150000,160000,3282000,137000,0,2178000,,340000,,5460000,,156000000,,
10001000717,0,6,2,1,72,1,2,1,3,1,3,1,3,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,1400000,350000,330000,1570000,570000,6862000,320000,0,2900000,,3150000,,16380000,,224500000,12393334,158720008
10001000902,0,9,3,1,67,1,2,1,1,1,3,1,3,90,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,729000,660000,1310000,610000,6387000,435000,0,5056000,1500000,1670000,,16380000,216000000,,18113334,225860008
10001000905,0,9,3,1,55,1,2,1,1,1,3,1,3,85,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,365000,715000,,460000,452000,7663000,1225000,0,4756000,,1240000,55000,16380000,234000000,,,
10001000908,0,9,3,1,63,1,2,4,3,1,2,1,4,130,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,1450000,550000,,1500000,220000,7697000,370000,0,6070000,,1670000,,,,380000000,,
10001000911,0,9,3,1,32,1,2,6,1,1,3,1,4,120,3,1,1,,,,,,1,,,1,1,1,,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,470000,,1450000,540000,6965000,459000,0,5680000,,890000,,16380000,,,22000000,274000000
10001000914,0,9,3,1,25,1,2,2,1,1,2,1,4,100,3,1,,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,120000,450000,290000,150000,600000,6857000,660000,0,5540000,,120000,,10920000,,,18000000,234000000
10001000917,0,9,3,1,50,1,2,2,3,1,3,1,4,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,780000,800000,50000,1840000,370000,6112000,475000,0,5660000,,2280000,65000,16380000,,404500000,,
10001001002,0,1,4,1,53,1,2,1,1,1,5,1,3,130,3,1,1,,,,,,1,,1,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,810000,2150000,750000,2300000,2800000,35608000,1470000,0,7800000,,20100000,,27300000,1362000000,160000000,,
10001001005,0,1,4,1,82,1,2,4,3,1,3,1,3,150,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,2910000,650000,1850000,2870000,790000,26700000,1590000,0,10760000,,5900000,50000,16380000,816000000,300000000,,
10001001008,0,1,4,1,65,1,2,4,3,1,4,1,4,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,730000,530000,,700000,1270000,10027500,740000,0,9120000,1200000,,,21840000,,428000000,,
10001001014,0,1,4,1,66,1,2,4,3,1,4,1,4,200,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,940000,1200000,650000,1580000,850000,21803000,700000,0,9610000,,9600000,,,,756000000,42726667,402720004
10001001017,0,1,4,1,70,1,2,4,3,1,3,1,3,150,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,,630000,400000,260000,640000,19468000,990000,0,9120000,,2350000,,16380000,375000000,260000000,,
10001001102,0,4,1,1,52,1,2,6,3,1,5,1,4,110,3,1,1,,,1,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,4,14,24,,900000,1000000,700000,675000,6335000,740000,0,6520000,180000,4000000,,,,249000000,14300000,180600000
10001001105,0,4,1,2,75,1,2,2,3,2,1,1,4,100,3,1,,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,1,4,14,24,1050000,500000,,300000,100000,2689000,,0,5370000,,,,5460000,,189000000,,
10001001108,0,4,1,1,75,1,2,4,3,1,4,1,4,100,3,1,1,,,,,,1,1,1,1,1,1,,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,,,,,1,4,14,24,2000000,600000,,1300000,300000,4750000,,0,4350000,,,,,,212000000,,
10001001111,0,4,1,1,83,2,,,1,1,2,1,3,120,3,1,,,,,,,1,,,1,1,1,,1,1,1,,,,,,,1,1,1,1,,1,1,1,,,,,1,4,14,24,60000,180000,,150000,,1718000,50000,0,4890000,,,,10920000,72000000,72600000,,
10001001114,0,4,1,1,79,1,2,2,3,1,2,1,5,250,3,1,1,,,,,,1,,,1,1,1,,1,1,1,,1,,,1,1,1,1,1,1,,1,1,1,,,,,1,4,14,24,3000000,600000,,900000,,11382000,430000,0,5750000,,,,2730000,,116000000,,
10001001117,0,4,1,1,72,1,2,6,3,1,2,1,4,125,3,1,1,,,,,,1,1,,1,,,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,4,14,24,21300000,1170000,,1450000,280000,11898000,1335000,0,5446000,,,,10920000,,434000000,,
10001001202,0,7,2,1,23,1,2,4,1,1,2,1,4,130,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,,290000,320000,1300000,570000,8140000,625000,0,4424000,,710000,,10920000,,,18113334,225860008
10001001205,0,7,2,1,79,2,,,3,1,3,1,3,100,3,1,,,,,,,1,,,1,1,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,905000,420000,,200000,420000,6132000,310000,0,3502000,,,,16380000,,176500000,15253334,183040008
10001001208,0,7,2,1,85,2,,,3,1,2,1,4,130,3,1,,,,,,,1,,,1,1,1,,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,1350000,400000,400000,160000,300000,7967000,460000,0,3500000,,350000,,10920000,,216000000,,
10001001211,0,7,2,1,67,1,2,1,3,1,2,1,3,110,3,1,,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,710000,250000,,160000,215000,3382000,229000,0,3385000,,450000,,10920000,,266000000,,
10001001214,0,7,2,1,39,1,2,4,1,1,4,1,4,150,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,224000,320000,150000,1760000,995000,7255000,670000,0,4570000,,510000,790000,21840000,,,20000000,240000000
10001001217,0,7,2,1,58,2,,,1,1,5,1,3,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,1770000,550000,90000,2180000,2400000,5400000,450000,0,3704000,,3300000,280000,27300000,,12000000,33366667,419100004
10001001302,0,10,3,1,36,1,2,4,1,1,3,1,4,83,1,,1,,,,1,,1,1,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,120000,210000,,2900000,545000,7358000,850000,0,4098000,,1420000,200000,16380000,,,13247500,163970000
10001001305,0,10,3,1,44,1,2,2,1,1,4,3,4,83,1,,,,,,,,1,1,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,,502000,,200000,1095000,6598000,722000,10000000,4892000,200000,50000,,21840000,,,10000000,120000000
10001001308,0,10,3,1,39,1,2,4,1,1,4,1,4,80,1,,1,,,,,,1,1,,1,1,1,,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,,295000,,1800000,5975000,9959000,865000,0,4520000,,3500000,500000,21840000,,,26902000,331824000
10001001311,0,10,3,1,35,1,2,2,1,1,3,3,4,83,1,,,,,,,,1,,,1,,,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,,,,,,,4,14,24,,245000,,350000,840000,7204000,1910000,250000000,5201000,,300000,800000,16380000,,,12000000,144000000
10001001314,0,10,3,1,40,1,2,4,1,1,4,1,4,83,1,,1,,,,,,1,1,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,180000,290000,800000,2600000,6687000,13397000,1185000,0,5762000,,3900000,1250000,21840000,,,25195000,310340000
10001001317,0,10,3,1,38,1,2,4,1,1,4,3,4,83,1,,,,,,,,1,1,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,280000,200000,300000,3998000,10865000,895000,10000000,4962000,,1210000,470000,19110000,,,17514600,218175200
10001001402,0,11,4,1,35,1,2,7,1,1,3,1,4,103,2,,1,,,,,,1,1,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,200000,610000,,3100000,3090000,11624000,1600000,0,8602000,,3650000,350000,16380000,,,32169000,394028000
10001001405,0,12,4,1,40,1,2,4,1,1,4,1,4,80,2,,1,,,,,,1,,,1,,,1,1,1,1,,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,200000,405000,,3100000,760000,6984000,1760000,0,8147000,,1540000,600000,21840000,240000000,,,
10001001408,0,11,4,1,36,1,2,1,1,1,4,3,3,85,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,380000,195000,,150000,2265000,5883000,660000,10000000,5300000,,320000,200000,17745000,,60000000,8000000,96000000
10001001411,0,11,4,1,45,1,2,1,1,1,3,5,3,80,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,1,,,,1,1,1,1,,1,1,,,,,,,4,14,24,,282000,,300000,635000,6174000,747000,0,5930000,,430000,200000,16380000,,,10000000,125000000
10001001414,0,11,4,1,65,1,2,4,3,1,3,1,4,130,3,1,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,4100000,410000,,2200000,2510000,8970000,1610000,0,5644000,,3120000,,16380000,,264000000,10000000,120000000
10001001417,0,11,4,1,32,1,2,1,1,1,3,6,3,80,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,,202000,,1020000,430000,3730000,990000,0,4495000,,,180000,16380000,18200000,,,
10001001502,0,2,1,1,68,2,,,3,1,3,1,3,85,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,,265000,,150000,130000,4878000,652000,0,1697000,,420000,,16380000,,261000000,,
10001001505,0,2,1,1,80,2,,,3,1,2,1,3,50,3,1,,,,,,,1,,,1,,1,,1,1,1,1,,,,,,1,1,1,,,1,1,,,,,,,4,14,24,,100000,,60000,35000,1995000,180000,0,1474000,,,,10920000,,10000000,,
10001001508,0,2,1,1,67,1,2,1,1,1,2,1,3,80,3,1,,,,,,,1,,,,,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,,265000,,120000,580000,5700000,660000,0,1914000,,,,10920000,,,7000000,84000000
10001001511,0,2,1,2,83,1,2,1,5,2,1,1,3,70,3,1,,,,,,,1,,,1,,,1,1,1,1,,,,,,,1,1,1,,,1,1,,,,,,,4,14,24,,100000,,80000,35000,2437000,242000,0,1473000,,,,5460000,,60000000,,
10001001514,0,2,1,1,58,2,,,3,1,2,1,3,75,3,1,,1,,,,,,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,100000,305000,300000,350000,315000,9809000,1210000,0,1887000,,380000,,10920000,,309000000,,
10001001517,0,2,1,1,46,1,2,2,1,1,4,1,3,62,3,1,1,,,,,,1,1,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,1035000,530000,150000,1990000,550000,5593000,730000,0,1850000,,860000,230000,21840000,200000000,,10000000,125000000
10001001602,0,5,2,1,54,2,,,3,1,5,1,3,70,3,1,,,1,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,215000,970000,330000,430000,1070000,7782000,375000,0,3290000,,1530000,,27300000,,440500000,10920000,139540000
10001001605,0,5,2,1,40,1,2,2,1,1,3,1,3,75,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,235000,450000,,1200000,380000,5165000,250000,0,3390000,,650000,260000,16380000,,,18000000,234000000
10001001608,0,5,2,2,70,2,,,3,2,1,1,3,120,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,650000,220000,,130000,150000,4049000,285000,0,2805000,,740000,,5460000,,106000000,,
10001001611,0,5,2,1,35,1,2,4,1,1,3,3,4,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,300000,,50000,265000,3633000,192000,30000000,6800000,,,150000,16380000,180000000,,,
10001001614,0,5,2,1,58,1,2,1,1,1,4,1,3,85,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,,910000,,1200000,740000,7856000,22630000,0,3510000,1200000,1450000,,,,,24000000,288000000
10001001617,0,5,2,1,50,2,,,1,1,4,1,3,100,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,720000,,660000,395000,7044000,460000,0,3450000,1200000,,,21840000,,70000000,22000000,264000000
10001001702,0,8,3,1,55,1,2,1,1,1,3,1,4,70,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,930000,800000,,470000,520000,8673400,545000,0,3720000,1200000,,,16380000,312000000,,8000000,96000000
10001001705,0,8,3,1,43,1,1,6,1,1,3,1,4,120,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,750000,,1800000,495000,8162000,915000,0,2535000,,1110000,90000,16380000,,,20973334,260180008
10001001708,0,8,3,1,80,2,,,1,1,2,1,4,200,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,,,,,,,4,14,24,420000,350000,,160000,200000,5715500,312000,0,2934000,,400000,,10920000,150000000,,,
10001001711,0,8,3,2,73,2,,,3,2,1,1,3,80,3,1,,,,,,,1,,,1,1,1,,1,1,,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,475000,170000,,60000,95000,2575200,173000,0,2514000,,240000,,5460000,,108000000,,
